1578942400, 0.25, 110.0, 27.5, 60.0, 1200.0, 30.0, 0
1578942460, 0.26, 110.2, 28.03, 59.5, 1210.0, 30.5, 0
1578942520, 0.27, 110.4, 29.58, 59.0, 1220.0, 31.0, 0
1578942580, 0.28, 110.6, 31.14, 58.5, 1230.0, 31.5, 0
1578942640, 0.29, 110.8, 32.71, 58.0, 1240.0, 32.0, 0
1578942700, 0.30, 111.0, 34.3, 57.5, 1250.0, 32.5, 0
1578942760, 0.31, 111.2, 35.89, 57.0, 1260.0, 33.0, 0
1578942820, 0.32, 111.4, 37.48, 56.5, 1270.0, 33.5, 0
1578942880, 0.33, 111.6, 39.08, 56.0, 1280.0, 34.0, 0
1578942940, 0.34, 111.8, 40.68, 55.5, 1290.0, 34.5, 0
1578943000, 0.35, 112.0, 42.3, 55.0, 1300.0, 35.0, 0
